"X.","Overall"
"","(N=18939)"
"Age.of.Contact",""
"  Mean (SD)","30.1 (10.6)"
"  Median [Min, Max]","29.0 [0, 80.0]"
"  Missing","57 (0.3%)"
"Sex",""
"  F","3384 (17.9%)"
"  M","15547 (82.1%)"
"  Missing","8 (0.0%)"
"RacialCat",""
"  CAUCASIAN","9827 (51.9%)"
"  ASIAN","1118 (5.9%)"
"  LATIN AMERICAN","50 (0.3%)"
"  MEDITERRANEAN","1424 (7.5%)"
"  INDIAN SUBCONTINENTAL","302 (1.6%)"
"  PACIFIC IS","395 (2.1%)"
"  AFRICAN/MIDDLE-EASTERN","1757 (9.3%)"
"  ABORIGINAL/T.S. ISLANDER","419 (2.2%)"
"  OTHER","243 (1.3%)"
"  Missing","3404 (18.0%)"
"Search.Reason",""
"  Drugs","15808 (83.5%)"
"  Graffiti","481 (2.5%)"
"  Weapons","1652 (8.7%)"
"  Missing","998 (5.3%)"
"Operation_Type",""
"  CIU","535 (2.8%)"
"  Crime","2976 (15.7%)"
"  DRU","421 (2.2%)"
"  Highway Patrol","163 (0.9%)"
"  PSO","461 (2.4%)"
"  Transit","1736 (9.2%)"
"  Uniform","12647 (66.8%)"
